mark-id,mark-name,mark-cyrillic-name,mark-popular,country,model-id,model-name,model-cyrillic-name,class,year-from,year-to,generation-id,generation-name,year-start,year-stop,is-restyle,configuration-id,doors-count,body-type,notice,complectation-id,offers-price-from,offers-price-to,group-name,back-brake,feeding,horse-power,kvt-power,rpm-power,engine-type,transmission,drive,volume,time-to-100,cylinders-order,max-speed,compression,cylinders-value,diametr,piston-stroke,engine-feeding,engine-order,gear-value,moment,petrol-type,valves,weight,wheel-size,wheel-base,front-wheel-base,back-wheel-base,front-brake,front-suspension,back-suspension,height,width,fuel-tank-capacity,seats,length,emission-euro-class,volume-litres,consumption-mixed,clearance,trunks-min-capacity,trunks-max-capacity,consumption-hiway,consumption-city,moment-rpm,full-weight,range-distance,battery-capacity,fuel-emission,electric-range,charge-time,safety-rating,safety-grade,alcantara,black-roof,combo-interior,decorative-interior-lighting,door-sill-panel,driver-seat-electric,driver-seat-memory,driver-seat-support,driver-seat-updown,eco-leather,electro-rear-seat,fabric-seats,folding-front-passenger-seat,folding-tables-rear,front-centre-armrest,front-seat-support,front-seats-heat,front-seats-heat-vent,hatch,leather,leather-gear-stick,massage-seats,panorama-roof,passenger-seat-electric,passenger-seat-updown,rear-seat-heat-vent,rear-seat-memory,rear-seats-heat,roller-blind-for-rear-window,roller-blinds-for-rear-side-windows,seat-memory,seat-transformation,sport-pedals,sport-seats,third-rear-headrest,third-row-seats,tinted-glass,wheel-heat,wheel-leather,360-camera,adj-pedals,ashtray-and-cigarette-lighter,auto-cruise,auto-mirrors,auto-park,climate-control-1,climate-control-2,computer,condition,cooling-box,cruise-control,drive-mode-sys,e-adjustment-wheel,easy-trunk-opening,electro-mirrors,electro-trunk,electro-window-back,electro-window-front,electronic-gage-panel,front-camera,keyless-entry,multi-wheel,multizone-climate-control,park-assist-f,park-assist-r,power-latching-doors,programmed-block-heater,projection-display,rear-camera,remote-engine-start,servo,start-button,start-stop-function,steering-wheel-gear-shift-paddles,wheel-configuration1,wheel-configuration2,wheel-memory,wheel-power,adaptive-light,automatic-lighting-control,drl,heated-wash-system,high-beam-assist,laser-lights,led-lights,light-cleaner,light-sensor,mirrors-heat,ptf,rain-sensor,windcleaner-heat,windscreen-heat,xenon,abs,airbag-curtain,airbag-driver,airbag-passenger,airbag-rear-side,airbag-side,asr,bas,blind-spot,collision-prevention-assist,dha,drowsy-driver-alert-system,esp,feedback-alarm,glonass,hcc,isofix,isofix-front,knee-airbag,laminated-safety-glass,lane-keeping-assist,night-vision,power-child-locks-rear-doors,traffic-sign-recognition,tyre-pressure,vsm,alarm,immo,lock,volume-sensor,12v-socket,220v-socket,android-auto,apple-carplay,audiopreparation,audiosystem-cd,audiosystem-tv,aux,bluetooth,entertainment-system-for-rear-seat-passengers,music-super,navigation,usb,voice-recognition,wireless-charger,ya-auto,activ-suspension,air-suspension,reduce-spare-wheel,spare-wheel,sport-suspension,14-inch-wheels,15-inch-wheels,16-inch-wheels,17-inch-wheels,18-inch-wheels,19-inch-wheels,20-inch-wheels,21-inch-wheels,22-inch-wheels,body-kit,body-mouldings,duo-body-color,paint-metallic,roof-rails,steel-wheels
ABARTH,Abarth,Абарт,false,Италия,ABARTH_124_SPIDER,124 Spider,124 спайдер,S,2016,2020,24005696,I,2016,2020,false,24005702,2,родстер,родстер,24005702__21199478,1900000,2300000,,дисковые,турбонаддув,170,125,5500,бензин,механическая,задний,1368,6.8,рядное,224,9.8,4,72,84,распределенный впрыск (многоточечный),"переднее, продольное",6,250,АИ-95,4,1135,,2310,1496,1503,дисковые вентилируемые,"независимая, пружинная","независимая, пружинная",1233,1740,45,2,4054,Euro 6,1.4,6.4,124,140,140,5.1,8.5,2500,,703,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABARTH,Abarth,Абарт,false,Италия,ABARTH_124_SPIDER,124 Spider,124 спайдер,S,2016,2020,24005696,I,2016,2020,false,24005702,2,родстер,родстер,24005702__21199492,1900000,2300000,,дисковые,турбонаддув,170,125,5500,бензин,робот,задний,1368,6.9,рядное,222,9.8,4,72,84,распределенный впрыск (многоточечный),"переднее, продольное",6,250,АИ-95,4,1155,,2310,1496,1503,дисковые вентилируемые,"независимая, пружинная","независимая, пружинная",1233,1740,45,2,4054,Euro 6,1.4,6.6,124,140,140,5.2,9.1,2500,,682,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABARTH,Abarth,Абарт,false,Италия,ABARTH_500,500,500,A,2008,,24005654,I Рестайлинг,2015,,true,24005682,3,хэтчбек 3 дв.,хэтчбек 3 дв.,24005682__22567764,,,,дисковые,турбонаддув,145,107,5500,бензин,механическая,передний,1368,7.8,рядное,210,9.8,4,72,84,распределенный впрыск (многоточечный),"переднее, поперечное",5,206,АИ-95,4,1035,195/45/R16,2300,1413,1407,дисковые вентилируемые,"независимая, пружинная","полунезависимая, пружинная",1488,1627,35,4,3571,Euro 6,1.4,6,,185,185,4.9,7.9,3000,,583,,139,,,EuroNCAP,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABARTH,Abarth,Абарт,false,Италия,ABARTH_500,500,500,A,2008,,24005654,I Рестайлинг,2015,,true,24005682,3,хэтчбек 3 дв.,хэтчбек 3 дв.,24005682__22567779,,,,дисковые,турбонаддув,145,107,5500,бензин,робот,передний,1368,8,рядное,210,9.8,4,72,84,распределенный впрыск (многоточечный),"переднее, поперечное",5,206,АИ-95,4,1045,195/45/R16,2300,1413,1407,дисковые вентилируемые,"независимая, пружинная","полунезависимая, пружинная",1488,1627,35,4,3571,Euro 6,1.4,5.8,,185,185,4.7,7.6,3000,,603,,134,,,EuroNCAP,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABARTH,Abarth,Абарт,false,Италия,ABARTH_500,500,500,A,2008,,24005654,I Рестайлинг,2015,,true,24005682,3,хэтчбек 3 дв.,хэтчбек 3 дв.,24005682__23478923,,,,дисковые,турбонаддув,159,117,5500,бензин,автоматическая,передний,1368,7.8,рядное,211,9.8,4,72,84,распределенный впрыск (многоточечный),"переднее, поперечное",6,248,АИ-95,4,1141,195/45/R16,2300,1413,1407,дисковые вентилируемые,"независимая, пружинная","полунезависимая, пружинная",1488,1627,40,4,3571,,1.4,8.7,104,268,759,7.3,9.8,2400;4000,,460,,,,,EuroNCAP,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABARTH,Abarth,Абарт,false,Италия,ABARTH_500,500,500,A,2008,,24005654,I Рестайлинг,2015,,true,24005682,3,хэтчбек 3 дв.,хэтчбек 3 дв.,24005682__22567796,,,,дисковые,турбонаддув,160,118,5500,бензин,механическая,передний,1368,7.3,рядное,216,9.8,4,72,84,распределенный впрыск (многоточечный),"переднее, поперечное",5,230,АИ-95,4,1035,205/40/R17,2300,1413,1407,дисковые вентилируемые,"независимая, пружинная","полунезависимая, пружинная",1488,1627,35,4,3571,Euro 6,1.4,6,,185,185,4.9,7.9,3000,,583,,139,,,EuroNCAP,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABARTH,Abarth,Абарт,false,Италия,ABARTH_500,500,500,A,2008,,24005654,I Рестайлинг,2015,,true,24005682,3,хэтчбек 3 дв.,хэтчбек 3 дв.,24005682__22567814,,,,дисковые,турбонаддув,160,118,5500,бензин,робот,передний,1368,7.4,рядное,216,9.8,4,72,84,распределенный впрыск (многоточечный),"переднее, поперечное",5,230,АИ-95,4,1045,205/40/R17,2300,1413,1407,дисковые вентилируемые,"независимая, пружинная","полунезависимая, пружинная",1488,1627,35,4,3571,Euro 6,1.4,5.8,,185,185,4.7,7.6,3000,,603,,134,,,EuroNCAP,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABARTH,Abarth,Абарт,false,Италия,ABARTH_500,500,500,A,2008,,24005654,I Рестайлинг,2015,,true,24005682,3,хэтчбек 3 дв.,хэтчбек 3 дв.,24005682__23478944,,,,дисковые,турбонаддув,162,119,5500,бензин,механическая,передний,1368,7.5,рядное,214,9.8,4,72,84,распределенный впрыск (многоточечный),"переднее, поперечное",5,231,АИ-95,4,1139,195/45/R16,2300,1413,1407,дисковые вентилируемые,"независимая, пружинная","полунезависимая, пружинная",1488,1627,40,4,3571,,1.4,7.6,104,268,759,6.9,8.4,2500;4000,,526,,,,,EuroNCAP,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABARTH,Abarth,Абарт,false,Италия,ABARTH_500,500,500,A,2008,,24005654,I Рестайлинг,2015,,true,24005682,3,хэтчбек 3 дв.,хэтчбек 3 дв.,24005682__21198975,,,,дисковые,турбонаддув,165,121,5500,бензин,механическая,передний,1368,7.3,рядное,218,9,4,72,84,распределенный впрыск (многоточечный),"переднее, поперечное",5,230,АИ-95,4,1035,205/40/R17,2300,1413,1407,дисковые вентилируемые,"независимая, пружинная","полунезависимая, пружинная",1488,1627,35,4,3571,Euro 6,1.4,6,104,185,185,4.9,7.9,3000,,583,,139,,,EuroNCAP,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABARTH,Abarth,Абарт,false,Италия,ABARTH_500,500,500,A,2008,,24005654,I Рестайлинг,2015,,true,24005682,3,хэтчбек 3 дв.,хэтчбек 3 дв.,24005682__22567833,,,,дисковые,турбонаддув,165,121,5500,бензин,робот,передний,1368,7.4,рядное,218,9,4,72,84,распределенный впрыск (многоточечный),"переднее, поперечное",5,230,АИ-95,4,1045,205/40/R17,2300,1413,1407,дисковые вентилируемые,"независимая, пружинная","полунезависимая, пружинная",1488,1627,35,4,3571,Euro 6,1.4,5.8,,185,185,4.7,7.6,3000,,603,,134,,,EuroNCAP,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
